iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.947414,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2,990,tonnes,annual,2023-10-03 21:10:30.947948,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.947963,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.947972,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_100yr,990,tonnes,annual,2023-10-03 21:10:30.947981,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_20yr,990,tonnes,annual,2023-10-03 21:10:30.947988,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2,3653,tonnes,annual,2023-10-03 21:10:30.948567,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.948582,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.948591,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_100yr,3653,tonnes,annual,2023-10-03 21:10:30.9486,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_20yr,3653,tonnes,annual,2023-10-03 21:10:30.948607,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2,1880,tonnes,annual,2023-10-03 21:10:30.949154,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.949169,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.949178,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_100yr,1880,tonnes,annual,2023-10-03 21:10:30.949187,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_20yr,1880,tonnes,annual,2023-10-03 21:10:30.949195,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2,1138,tonnes,annual,2023-10-03 21:10:30.949755,
