source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,526346,0.0061,T of CO2 per T of iron extracted,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,526346,,,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,526346,,,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,,N/A,,85478727,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,410298,,,,N/A,,85478727,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,410298,,,,N/A,,85478727,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486987,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,,,T of CO2 per T of iron extracted,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,B1 Mine,iron-mine,-22.678896,117.46565,trace_117.46565_-22.678896
25486987,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,B1 Mine,iron-mine,-22.678896,117.46565,trace_117.46565_-22.678896
25486987,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,,,T of CO2 per T of iron extracted,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,B1 Mine,iron-mine,-22.678896,117.46565,trace_117.46565_-22.678896
25486987,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,B1 Mine,iron-mine,-22.678896,117.46565,trace_117.46565_-22.678896
