iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AUT,2022-01-01 00:00:00,2022-12-31 00:00:00,bauxite-mining,co2e_100yr,40335,tonnes,annual,2023-10-03 21:10:31.221872,2023-11-02 13:52:57.709006
AUT,2022-01-01 00:00:00,2022-12-31 00:00:00,bauxite-mining,co2e_20yr,40335,tonnes,annual,2023-10-03 21:10:31.221881,2023-11-02 13:52:57.709006
BIH,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,1830616,tonnes,annual,2023-10-03 21:10:31.269488,2023-11-02 13:52:59.881703
BIH,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,1830616,tonnes,annual,2023-10-03 21:10:31.269496,2023-11-02 13:52:59.881703
BIH,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,1938654,tonnes,annual,2023-10-03 21:10:31.270071,2023-11-02 13:52:59.881703
BIH,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_100yr,1938654,tonnes,annual,2023-10-03 21:10:31.270101,2023-11-02 13:52:59.881703
BIH,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_20yr,1938654,tonnes,annual,2023-10-03 21:10:31.270109,2023-11-02 13:52:59.881703
BIH,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2,1880757,tonnes,annual,2023-10-03 21:10:31.270621,2023-11-02 13:52:59.881703
BIH,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_100yr,1880757,tonnes,annual,2023-10-03 21:10:31.270651,2023-11-02 13:52:59.881703
BIH,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_20yr,1880757,tonnes,annual,2023-10-03 21:10:31.270659,2023-11-02 13:52:59.881703
BIH,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2,1581146,tonnes,annual,2023-10-03 21:10:31.271141,2023-11-02 13:52:59.881703
BIH,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,1581146,tonnes,annual,2023-10-03 21:10:31.271171,2023-11-02 13:52:59.881703
BIH,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,1581146,tonnes,annual,2023-10-03 21:10:31.271178,2023-11-02 13:52:59.881703
BIH,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2,1577737,tonnes,annual,2023-10-03 21:10:31.271948,2023-11-02 13:52:59.881703
BIH,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_100yr,1577737,tonnes,annual,2023-10-03 21:10:31.271979,2023-11-02 13:52:59.881703
BIH,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_20yr,1577737,tonnes,annual,2023-10-03 21:10:31.271987,2023-11-02 13:52:59.881703
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2,1200800,tonnes,annual,2023-10-03 21:10:31.299357,2023-11-02 13:52:59.881703
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,1200800,tonnes,annual,2023-10-03 21:10:31.299388,2023-11-02 13:52:59.881703
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,1200800,tonnes,annual,2023-10-03 21:10:31.299396,2023-11-02 13:52:59.881703
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2,1596000,tonnes,annual,2023-10-03 21:10:31.299893,2023-11-02 13:52:59.881703
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_100yr,1596000,tonnes,annual,2023-10-03 21:10:31.299924,2023-11-02 13:52:59.881703
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_20yr,1596000,tonnes,annual,2023-10-03 21:10:31.299931,2023-11-02 13:52:59.881703
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2,455589,tonnes,annual,2023-10-03 21:10:31.300434,2023-11-02 13:52:59.881703
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_100yr,455589,tonnes,annual,2023-10-03 21:10:31.300465,2023-11-02 13:52:59.881703
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_20yr,455589,tonnes,annual,2023-10-03 21:10:31.300474,2023-11-02 13:52:59.881703
DOM,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2,145850,tonnes,annual,2023-10-03 21:10:31.453684,2023-11-02 13:52:59.947905
DOM,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,145850,tonnes,annual,2023-10-03 21:10:31.453715,2023-11-02 13:52:59.947905
DOM,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,145850,tonnes,annual,2023-10-03 21:10:31.453722,2023-11-02 13:52:59.947905
DOM,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,592,tonnes,annual,2023-10-03 21:10:31.454226,2023-11-02 13:52:59.947905
DOM,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_100yr,592,tonnes,annual,2023-10-03 21:10:31.454256,2023-11-02 13:52:59.947905
DOM,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_20yr,592,tonnes,annual,2023-10-03 21:10:31.454264,2023-11-02 13:52:59.947905
FJI,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2,920,tonnes,annual,2023-10-03 21:10:31.501692,2023-11-02 13:52:59.947905
FJI,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,920,tonnes,annual,2023-10-03 21:10:31.501723,2023-11-02 13:52:59.947905
FJI,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,920,tonnes,annual,2023-10-03 21:10:31.501731,2023-11-02 13:52:59.947905
FJI,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,889,tonnes,annual,2023-10-03 21:10:31.502244,2023-11-02 13:52:59.947905
FJI,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_100yr,889,tonnes,annual,2023-10-03 21:10:31.502275,2023-11-02 13:52:59.947905
FJI,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_20yr,889,tonnes,annual,2023-10-03 21:10:31.502283,2023-11-02 13:52:59.947905
FJI,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2,456,tonnes,annual,2023-10-03 21:10:31.503108,2023-11-02 13:52:59.947905
FJI,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_100yr,456,tonnes,annual,2023-10-03 21:10:31.503141,2023-11-02 13:52:59.947905
FJI,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_20yr,456,tonnes,annual,2023-10-03 21:10:31.503148,2023-11-02 13:52:59.947905
FJI,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2,456,tonnes,annual,2023-10-03 21:10:31.503774,2023-11-02 13:52:59.947905
