"ISO3","Annee","Emission annuelle","Somme des emissions","percentage"
"SDN",2019,21772508,0,0
"SDN",2020,20527464,0,0
"SDN",2021,22185106,0,0
"SDN",2022,22013348,0,0
"SUR",2015,2713354,135360,4.988659791534757
"SUR",2016,2920766,0,0
"SUR",2017,2426406,0,0
"SUR",2018,2089318,0,0
"SUR",2019,2635797,0,0
"SUR",2020,2917944,507060,17.377304019542528
"SUR",2021,3682585,0,0
"SUR",2022,3586520,0,0
"SWE",2015,43418744,359161,0.8272026477781117
"SWE",2016,43414110,393438,0.9062445366264562
"SWE",2017,42456588,467658,1.1014968984318758
"SWE",2018,42036584,523429,1.2451749171626316
"SWE",2019,41006040,520297,1.2688301528262664
"SWE",2020,36686484,1431193,3.90114517379207
"SWE",2021,38524788,1454120,3.7745048720320016
"SWE",2022,38050544,1355270,3.561762480977933
"CHE",2015,38725590,0,0
"CHE",2016,39178640,0,0
"CHE",2017,38172092,0,0
"CHE",2018,36867250,0,0
"CHE",2019,36726916,0,0
"CHE",2020,34235224,0,0
"CHE",2021,35787340,0,0
"CHE",2022,35380164,0,0
"SYR",2015,28603272,4,0.000013984414090807513
"SYR",2016,26936300,4,0.000014849849459651101
"SYR",2017,28443664,4,0.00001406288585043052
"SYR",2018,32424630,4,0.000012336301138979843
"SYR",2019,28677104,4,0.000013948409853379894
"SYR",2020,26312742,4,0.000015201760424664218
"SYR",2021,27217022,3,0.000011022513778325931
"SYR",2022,27635256,3,0.00001085569824285326
"TWN",2015,275868000,384,0.00013919700726434383
"TWN",2016,279730980,387,0.0001383472077350889
"TWN",2017,285247000,306,0.00010727544899683432
"TWN",2018,283416000,234,0.00008256414599034635
"TWN",2019,273954020,183,0.00006679953081177636
"TWN",2020,271788800,133,0.00004893505545482374
"TWN",2021,291201400,105,0.000036057518954235796
"TWN",2022,277900930,70,0.000025188832581452678
"TJK",2015,5302282,793,0.014955824680769525
"TJK",2016,5692501,870,0.015283264772373338
"TJK",2017,6858048,1987,0.028973258863163397
"TJK",2018,8060483,4058,0.050344377626005785
"TJK",2019,8856778,4046,0.04568252698667619
"TJK",2020,9298944,5259,0.05655480880409646
"TJK",2021,9980379,6229,0.06241245948675898
"TJK",2022,10017384,7198,0.07185508711655658
"TZA",2015,9723330,901449,9.270990493997427
"TZA",2016,10213532,942163,9.224654115735868
"TZA",2017,11233944,836952,7.450206267718622
"TZA",2018,11837862,543788,4.593633546327876
"TZA",2019,13743298,564150,4.104909898628408
"TZA",2020,14168675,194528,1.3729441885003362
"TZA",2021,15417177,139364,0.9039527794225881
"TZA",2022,15569999,80828,0.5191265587107616
"THA",2015,277098700,10703,0.003862522631827576
"THA",2016,284045300,9973,0.003511059679565196
