source_id,source_name,iso3_country,original_inventory_sector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
25486996,Cockatoo Island Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-10 00:00:00,2023-11-06 11:20:00,high
25486997,Deception Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25486998,Eastern Range Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,medium,,,medium,,,medium,2023-10-10 00:00:00,2023-11-06 11:20:00,medium
25486999,Eastern Ridge Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,medium,,,medium,,,medium,2023-10-10 00:00:00,2023-11-06 11:20:00,medium
25487000,Eliwana Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487001,Extension Hill Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-10 00:00:00,2023-11-06 11:20:00,high
25487002,Firetail Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487003,Frances Creek Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,low,,,low,,,low,2023-10-10 00:00:00,2023-11-06 11:20:00,low
25487004,Gudai-Darri Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487005,Hope Downs 1 Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,medium,,,medium,,,medium,2023-10-10 00:00:00,2023-11-06 11:20:00,medium
25487006,Hope Downs 4 Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,medium,,,medium,,,medium,2023-10-10 00:00:00,2023-11-06 11:20:00,medium
25487007,Iron Baron Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-10 00:00:00,2023-11-06 11:20:00,low
25487008,Iron Knob Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-10 00:00:00,2023-11-06 11:20:00,low
25487009,Iron Ridge Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-10 00:00:00,2023-11-06 11:20:00,low
25487010,Iron Valley Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,low,,,low,,,low,2023-10-10 00:00:00,2023-11-06 11:20:00,low
25487011,J1 Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487012,J2 Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487013,J3 Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-10 00:00:00,2023-11-06 11:20:00,high
25487014,J4 Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487015,Jack Hills Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-10 00:00:00,2023-11-06 11:20:00,high
25487016,Jimblebar Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,medium,,,medium,,,medium,2023-10-10 00:00:00,2023-11-06 11:20:00,medium
25487017,Kara Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,low,,,low,,,low,2023-10-10 00:00:00,2023-11-06 11:20:00,low
25487018,Karara Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,medium,,,medium,,,medium,2023-10-10 00:00:00,2023-11-06 11:20:00,medium
25487019,King's Valley Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487020,Koolan Island Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-10 00:00:00,2023-11-06 11:20:00,high
25487021,Koolanooka Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-10 00:00:00,2023-11-06 11:20:00,high
25487022,Koolyanobbing Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,low,,,low,,,low,2023-10-10 00:00:00,2023-11-06 11:20:00,low
25487023,Marandoo Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,medium,,,medium,,,medium,2023-10-10 00:00:00,2023-11-06 11:20:00,medium
25487024,Mesa A/Warramboo Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487025,Mesa B Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487026,Mesa C Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487027,Mesa H Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
25487028,Mesa J Mine,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-10 00:00:00,2023-11-06 11:20:00,
