iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AUS,2017-01-01 00:00:00,2017-12-31 00:00:00,iron-mining,co2e_20yr,4692392,tonnes,annual,2023-10-03 21:13:22.913375,2023-11-02 13:53:01.554804
AUS,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2,4811441,tonnes,annual,2023-10-03 21:13:22.913898,2023-11-02 13:53:01.554804
AUS,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2e_100yr,4811441,tonnes,annual,2023-10-03 21:13:22.913929,2023-11-02 13:53:01.554804
AUS,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2e_20yr,4811441,tonnes,annual,2023-10-03 21:13:22.913936,2023-11-02 13:53:01.554804
AUS,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2,4869274,tonnes,annual,2023-10-03 21:13:22.914532,2023-11-02 13:53:01.554804
AUS,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2e_100yr,4869274,tonnes,annual,2023-10-03 21:13:22.914563,2023-11-02 13:53:01.554804
AUS,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2e_20yr,4869274,tonnes,annual,2023-10-03 21:13:22.91457,2023-11-02 13:53:01.554804
AUS,2020-01-01 00:00:00,2020-12-31 00:00:00,iron-mining,co2,4622444,tonnes,annual,2023-10-03 21:13:22.915062,2023-11-02 13:53:01.554804
AUS,2020-01-01 00:00:00,2020-12-31 00:00:00,iron-mining,co2e_100yr,4622444,tonnes,annual,2023-10-03 21:13:22.915092,2023-11-02 13:53:01.554804
AUS,2020-01-01 00:00:00,2020-12-31 00:00:00,iron-mining,co2e_20yr,4622444,tonnes,annual,2023-10-03 21:13:22.9151,2023-11-02 13:53:01.554804
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,5786264,tonnes,annual,2023-10-03 21:13:22.91577,2023-11-02 13:53:01.554804
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,5786264,tonnes,annual,2023-10-03 21:13:22.915803,2023-11-02 13:53:01.554804
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_20yr,5786264,tonnes,annual,2023-10-03 21:13:22.91581,2023-11-02 13:53:01.554804
AUS,2022-01-01 00:00:00,2022-12-31 00:00:00,iron-mining,co2,6246234,tonnes,annual,2023-10-03 21:13:22.916415,2023-11-02 13:53:01.554804
AUS,2022-01-01 00:00:00,2022-12-31 00:00:00,iron-mining,co2e_100yr,6246234,tonnes,annual,2023-10-03 21:13:22.916447,2023-11-02 13:53:01.554804
AUS,2022-01-01 00:00:00,2022-12-31 00:00:00,iron-mining,co2e_20yr,6246234,tonnes,annual,2023-10-03 21:13:22.916454,2023-11-02 13:53:01.554804
AUT,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2,124217,tonnes,annual,2023-10-03 21:13:22.91866,2023-11-02 13:53:01.554804
AUT,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2e_100yr,124217,tonnes,annual,2023-10-03 21:13:22.91869,2023-11-02 13:53:01.554804
AUT,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2e_20yr,124217,tonnes,annual,2023-10-03 21:13:22.918698,2023-11-02 13:53:01.554804
AUT,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2,125369,tonnes,annual,2023-10-03 21:13:22.91918,2023-11-02 13:53:01.554804
AUT,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2e_100yr,125369,tonnes,annual,2023-10-03 21:13:22.91921,2023-11-02 13:53:01.554804
AUT,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2e_20yr,125369,tonnes,annual,2023-10-03 21:13:22.919217,2023-11-02 13:53:01.554804
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,iron-mining,co2,119699,tonnes,annual,2023-10-03 21:13:22.919824,2023-11-02 13:53:01.554804
